TestCase_ID,request_type,request_name,Endpoint,userId,roleId,userRoleStatus,userFirstName,userLastName,userLocation,userMiddleName,userPhoneNumber,userLinkedinUrl,userEduPg,userEduUg,userTimeZone,userVisaStatus,loginStatus,userLoginEmail,userRoleStatus,password,userRoleProgramBatchStatus,userComments,ProgramDescription,ProgramName,ProgramStatus,batchDescription,batchId,batchname,batchNoOfClasses,batchStatus,programId,programName,Comment,classNo,classDate,classTopic,classStatus,classStaffId,classDescription,classComments,classNotes,classRecordingPath,Response_Status_Code,expectedstatusline
U_GET_TC_14,GET,User by Program Batches,users/programBatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
U_GET_TC_15,GET,users for programId,users/programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,16916,,,,,,,,,,,,200,OK
U_GET_TC_16,GET,users for programId,users/programs/16970,,,,,,,,,,,,,,,,,,,,,,,,,,,,16970,,,,,,,,,,,,404,Not Found
U_GET_TC_17,GET,users for programId,users/programs/16971,,,,,,,,,,,,,,,,,,,,,,,,,,,,16971,,,,,,,,,,,,404,Not Found
U_GET_TC_18,GET,users for programId,users/programs/16916,,,,,,,,,,,,,,,,,,,,,,,,,,,,16916,,,,,,,,,,,,401,Unauthorized
U_GET_TC_19,GET,users for roleId,users/roles/R01,,R01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_20,GET,users for roleId,users/roles/R04,,R04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
U_GET_TC_21,GET,users for roleId,users/roles/R01,,R01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
U_GET_TC_22,GET,users for roleId V2,v2/users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_GET_TC_23,GET,users for roleId V2,v2/users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
U_PUT_TC_24,PUT,update user,users,,R03,Active,Oscar,Wright,CA,Miller,(+1) 7710858998,https://www.linkedin.com/feed/?wright,BED,MED,CST,GC-EAD,Active,oscar.wriht@gmail.com,Active,Numpy1@345,,,,,,,,,,,,,,,,,,,,,,,200,OK
U_PUT_TC_25,PUT,update user,users/U282,,R01,Active,Oscar,Wright,CA,Miller,(+1) 7710858998,https://www.linkedin.com/feed/?wright,BED,MED,CST,GC-EAD,Active,oscar.wriht@gmail.com,Active,Numpy1@346,,,,,,,,,,,,,,,,,,,,,,,400,Bad Request
U_PUT_TC_26,PUT,update user,users/U299,,R03,Active,Oscar,Wright,CA,Miller,(+1) 7710858998,https://www.linkedin.com/feed/?wright,BED,MED,CST,GC-EAD,Active,oscar.wriht@gmail.com,Active,Numpy1@347,,,,,,,,,,,,,,,,,,,,,,,400,Bad Request
U_PUT_TC_27,PUT,update user roleId,users/roleId/U282,U282,R01,Active,Eve,Anderson,LA,Doe,(+1) 7710538998,https://www.linkedin.com/feed/?Eve,BSC,MSC,IST,H4,Active,eve.andeson@gmail.com,Active,Numpy1@348,,,,,,,,,,,,,,,,,,,,,,,400,Bad Request
U_PUT_TC_28,PUT,update user roleId,users/roleId/U283,U283,R0278,Active,Eve,Anderson,LA,Doe,(+1) 7710538998,https://www.linkedin.com/feed/?Eve,BSC,MSC,IST,H5,Active,eve.andeson@gmail.com,Active,Numpy1@349,,,,,,,,,,,,,,,,,,,,,,,400,Bad Request
U_PUT_TC_29,PUT,Update User ID and chained with program and Batch module,users/roleProgramBatchStatus,,R01,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,200,OK
U_PUT_TC_30,PUT,Update User Role Program Batch Status,users/roleProgramBatchStatus,U282,R01,,,,,,,,,,,,,,,,Active,,,,,,,,,,16916,,,,,,,,,,,,201,Created
U_PUT_TC_31,PUT,Update User Login Status,users/userLogin,U279,R01,,,,,,,,,,,,inactive,alice.bron@gmail.com,,24534,,,,,,,,,,,,,,,,,,,,,,,201,Created
U_DEL_TC_32,DELETE,Delete User,users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_POST_TC_01,POST,Add New Program,saveprogram,,,,,,,,,,,,,,,,,,,,Program added,Test-Program-Javauv,active,,,,,,,,StoreProgramID,,,,,,,,,,201,Created
P_POST_TC_02,POST,Add New Program,saveprogram,,,,,,,,,,,,,,,,,,,,Program added,Test-Program-Pythouv,active,,,,,,,,StoreProgramName,,,,,,,,,,201,Created
P_POST_TC_03,POST,Add New Program,saveprogram,,,,,,,,,,,,,,,,,,,,Program added,Test-Program-Seleniumuv,active,,,,,,,,StoreProgramID,,,,,,,,,,201,Created
P_POST_TC_04,POST,Add New Program with No auth,saveprogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_POST_TC_05,POST,Add New Program with invalid url,saveprogramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
P_POST_TC_06,POST,Add New Program with existing program name,saveprogram,,,,,,,,,,,,,,,,,,,,Program exists,Test-Program-Pythonuv,active,,,,,,,,,,,,,,,,,,400,Bad Request
P_GET_TC_07,GET,Get all programs,allPrograms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
P_GET_TC_08,GET,Get all programs invalid endpoint,allProgramsss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
P_GET_TC_09,GET,Get all programs with invalid method name,allPrograms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
P_GET_TC_10,GET,Get all programs with no Auth,allPrograms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_GET_TC_11,GET,Get all programs with users,allProgramsWithUsers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
P_GET_TC_12,GET,Get all programs with users Invalid endpoint,allProgramsWithUsersss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
P_GET_TC_13,GET,Get all programs with users Invalid Method,allProgramsWithUsers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
P_GET_TC_14,GET,Get all programs with users No Auth,allProgramsWithUsers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_GET_TC_15,GET,Get program by valid program ID,programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
P_GET_TC_16,GET,Get program by Invalid program ID,programs/99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
P_GET_TC_17,GET,Get program with No Auth,programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_GET_TC_18,GET,Get Program by invalid Method name,programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
P_PUT_TC_19,PUT,Update program by valid program name,program,,,,,,,,,,,,,,,,,,,,Program updated,Test-Program-Pythonuv,active,,,,,,,,StoreProgramName,,,,,,,,,,200,OK
P_PUT_TC_20,PUT,Update program by invalid program name,program/asdfkljksihdfk,,,,,,,,,,,,,,,,,,,,,Test-Program-Pythonuv,active,,,,,,,,StoreProgramName,,,,,,,,,,404,Not Found
P_PUT_TC_21,PUT,Update program with empty body,program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_PUT_TC_22,PUT,Update program with no auth,program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_PUT_TC_23,PUT,Update program by Program ID,putprogram,,,,,,,,,,,,,,,,,,,,,Test-Program-Seleniumuv,Active,,,,,,,,,,,,,,,,,,200,OK
P_PUT_TC_24,PUT,Update program by invalid endpoint,putprogram/99999999,,,,,,,,,,,,,,,,,,,,,Test-Program-Seleniumuv,Active,,,,,,,,,,,,,,,,,,404,Not Found
P_PUT_TC_25,PUT,Update program with empty body,putprogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_PUT_TC_26,PUT,Update program with no auth,putprogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_DEL_TC_27,DELETE,Delete program by Invalid program ID,deletebyprogid/9999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
P_DEL_TC_28,DELETE,Delete Program with no auth,deletebyprogid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_DEL_TC_29,DELETE,Delete program with valid program ID,deletebyprogid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
P_DEL_TC_30,DELETE,Delete program by Invalid program name,deletebyprogname/Agghtaslkfjasd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
P_DEL_TC_31,DELETE,Delete Program with no auth,deletebyprogname/Test-Program-Pythonuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
P_DEL_TC_32,DELETE,Delete program with valid program name,deletebyprogname/Test-Program-Pythonuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
B_POST_TC_00,POST,Create batch ID and chained with program module,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,RequestRockStarsTeam028,9,Active,,,,,,,,,,,,,201,Created
B_POST_TC_40,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing,,APITestingsJAVA33,4,Active,16916,,,,,,,,,,,,201,Created
B_POST_TC_41,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing02,,APITestingsPython33,4,Active,16916,,,,,,,,,,,,201,Created
B_POST_TC_42,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,2345,,APITestings03,4,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_43,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,#$@,,APITestings03,4,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_44,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,,,APITesting43,4,Active,16916,,,,,,,,,,,,201,Created
B_POST_TC_45,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,243,4,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_46,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,#$%,4,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_47,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,,4,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_48,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting01,4,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_49,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_50,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,df,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_51,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,$%,Active,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_52,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,78,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_53,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,DFR,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_54,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,DF56,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_55,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,$%,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_56,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,,16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_57,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,,,,,,,,,,,,,400,Bad Request
B_POST_TC_58,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,GHT,,,,,,,,,,,,400,Bad Request
B_POST_TC_59,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,&*,,,,,,,,,,,,400,Bad Request
B_POST_TC_60,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,-16916,,,,,,,,,,,,400,Bad Request
B_POST_TC_61,POST,Create batch ID,batch,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,16916,,,,,,,,,,,,404,Not Found
B_POST_TC_62,POST,Create batch ID,,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,16916,,,,,,,,,,,,404,Not Found
B_POST_TC_63,GET,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting04,4,Active,16916,,,,,,,,,,,,405,Method Not Allowed
B_POST_TC_64,POST,Create batch ID,batches,,,,,,,,,,,,,,,,,,,,,,,LMS API Testing03,,APITesting08,4,Active,16916,,,,,,,,,,,,401,Unauthorized
B_GET_TC_01,GET,Get All Batches,batches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
B_GET_TC_02,GET,Get All Batches,batch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_03,GET,Get All Batches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_04,POST,Get All Batches,batches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
B_GET_TC_05,GET,Get All Batches,batches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
B_GET_TC_08,GET,Get By Batch ID,batches/batchId/9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
B_GET_TC_09,GET,Get By Batch ID,batches/batchId/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_10,GET,Get By Batch ID,batches/batchId/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_11,GET,Get By Batch ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_12,POST,Get By Batch ID,batches/batchId/9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
B_GET_TC_13,GET,Get By Batch ID,batches/batchId/9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
B_GET_TC_16,GET,Get Bt Batch Name,batches/batchName/Javacourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
B_GET_TC_17,GET,Get Bt Batch Name,batches/batchName/Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_18,GET,Get Bt Batch Name,batches/batchName/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_19,GET,Get Bt Batch Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_20,POST,Get Bt Batch Name,batches/batchName/Javacourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
B_GET_TC_21,GET,Get Bt Batch Name,batches/batchName/Javacourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
B_GET_TC_24,GET,Get By Program ID,batches/program/16916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
B_GET_TC_25,GET,Get By Program ID,batches/program/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_26,GET,Get By Program ID,batches/program/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_27,GET,Get By Program ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_GET_TC_28,DELETE,Get By Program ID,batches/program/16916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
B_GET_TC_29,GET,Get By Program ID,batches/program/16916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
B_PUT_TC_67,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacoursejava24,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,200,OK
B_PUT_TC_68,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,,,Javacoursetester25,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,200,OK
B_PUT_TC_69,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,675,,Javacourse7,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_70,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,&%$,,Javacourse7,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_71,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,,,JavacourseTesting14,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,200,OK
B_PUT_TC_72,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,453,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_73,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,#$%,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_74,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_75,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse11,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_76,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_77,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,TH,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_78,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,&^,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_79,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,678,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_80,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,DFT,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_81,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,DR45,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_82,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,^%$,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_83,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,,16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_84,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,Active,,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_85,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,Active,ght,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_86,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,Active,&^%,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_87,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,6,Active,-16916,APINinjashnoqdqwyne,,,,,,,,,,,400,Bad Request
B_PUT_TC_88,PUT,Update Batch,batches/batchId,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse27,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,404,Not Found
B_PUT_TC_89,PUT,Update Batch,,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,404,Not Found
B_PUT_TC_90,POST,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse7,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,405,Method Not Allowed
B_PUT_TC_91,PUT,Update Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,JavaTeachingCourse,,Javacourse12,5,Active,16916,APINinjashnoqdqwyne,,,,,,,,,,,401,Unauthorized
B_DEL_TC_32,DELETE,Delete Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,OK
B_DEL_TC_33,DELETE,Delete Batch,batches/9494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_DEL_TC_34,DELETE,Delete Batch,batches/bachId/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_DEL_TC_35,DELETE,Delete Batch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
B_DEL_TC_36,POST,Delete Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,Method Not Allowed
B_DEL_TC_37,DELETE,Delete Batch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Unauthorized
B_DEL_TC_38,DELETE,Delete Batch,batches/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,Not Found
C_POST_TC_A_1,POST,Create classes for chain with user,CreateClassSchedule,,,,,,,,,,,,,,,,,,,,,,,,9499,,,,,,,1,2025-03-26T19:04:41.220Z,SoftSkills17,Scheduled,U25,Botany Introduction,Bring Notepad,Bring Questions to class,check biology folder,201,Created
